"pantool","tool1","tool2","rfdist"
"panacota","clipkit","snippy",0.00436192149999998
"panacota","fixcore","snippy",0.00260078149999999
"panacota","hmmcleaner","snippy",0.00241234610000003
"panacota","snippy","snippy",0
"panacota","subset","snippy",0.00437302220000003
"panacota","treeshrink","snippy",0.00452086520000002
"panacota","trimal","snippy",0.00412860459999998
"roary_def","clipkit","snippy",0.00770848709999998
"roary_def","fixcore","snippy",0.00253956780000001
"roary_def","hmmcleaner","snippy",0.0044461031
"roary_def","snippy","snippy",0
"roary_def","subset","snippy",0.00770396240000001
"roary_def","treeshrink","snippy",0.00712642199999997
"roary_def","trimal","snippy",0.00828095189999999
"panaroo","clipkit","snippy",0.0236542806000001
"panaroo","fixcore","snippy",0.00964423189999996
"panaroo","hmmcleaner","snippy",0.0177222623
"panaroo","snippy","snippy",0
"panaroo","subset","snippy",0.0264034835
"panaroo","treeshrink","snippy",0.0242290680999999
"panaroo","trimal","snippy",0.0228534521
"panaroo_def","clipkit","snippy",0.012865463
"panaroo_def","fixcore","snippy",0.00483737960000002
"panaroo_def","hmmcleaner","snippy",0.00800860609999999
"panaroo_def","snippy","snippy",0
"panaroo_def","subset","snippy",0.0140437607
"panaroo_def","treeshrink","snippy",0.0123944929
"panaroo_def","trimal","snippy",0.0126425523
