ST,pan,tool,pi
ST258,panacota,clipkit,1.2659799322612e-4
ST258,panacota,fixcore,1.188134885483e-4
ST258,panacota,hmmcleaner,1.147091810714e-4
ST258,panacota,snippy,7.99335001675675e-5
ST258,panacota,subset,1.2606168561538e-4
ST258,panacota,treeshrink,1.2443581182107e-4
ST258,panacota,trimal,1.2704304079143e-4
ST258,panaroo,clipkit,1.8211780962932e-4
ST258,panaroo,fixcore,1.3826903292996e-4
ST258,panaroo,hmmcleaner,1.4984298038679e-4
ST258,panaroo,snippy,7.97657480910627e-5
ST258,panaroo,subset,1.8900320695507e-4
ST258,panaroo,treeshrink,1.7622274345924e-4
ST258,panaroo,trimal,1.9114320748102e-4
ST258,panaroodefault,clipkit,2.3464297282166e-4
ST258,panaroodefault,fixcore,1.876469346689e-4
ST258,panaroodefault,hmmcleaner,1.9900530571091e-4
ST258,panaroodefault,snippy,8.00095277442237e-5
ST258,panaroodefault,subset,2.4001979360352e-4
ST258,panaroodefault,treeshrink,2.2696997409584e-4
ST258,panaroodefault,trimal,2.5342194583333e-4
ST258,roarydefault,clipkit,1.3428930947514e-4
ST258,roarydefault,fixcore,7.82873184505675e-5
ST258,roarydefault,hmmcleaner,1.0835533146977e-4
ST258,roarydefault,snippy,7.0870918555514e-5
ST258,roarydefault,subset,1.3117259949722e-4
ST258,roarydefault,treeshrink,1.2938105615665e-4
ST258,roarydefault,trimal,1.4404032649863e-4
ST307,panacota,clipkit,2.41784853667901e-5
ST307,panacota,fixcore,2.16303533470235e-5
ST307,panacota,hmmcleaner,2.13485802577064e-5
ST307,panacota,snippy,1.6109461870571e-5
ST307,panacota,subset,2.41410329243453e-5
ST307,panacota,treeshrink,2.24964346801381e-5
ST307,panacota,trimal,2.37216678512678e-5
ST307,panaroo,clipkit,3.25207122130595e-5
ST307,panaroo,fixcore,2.4034844103437e-5
ST307,panaroo,hmmcleaner,2.69651933630306e-5
ST307,panaroo,snippy,1.63451911103188e-5
ST307,panaroo,subset,3.24453618742014e-5
ST307,panaroo,treeshrink,3.00184344592536e-5
ST307,panaroo,trimal,3.16356444721342e-5
ST307,panaroodefault,clipkit,3.4264129385469e-5
ST307,panaroodefault,fixcore,2.39483309272026e-5
ST307,panaroodefault,hmmcleaner,2.7123576378088e-5
ST307,panaroodefault,snippy,1.62512710111852e-5
ST307,panaroodefault,subset,3.56207658278849e-5
ST307,panaroodefault,treeshrink,3.16483682085874e-5
ST307,panaroodefault,trimal,3.37721540042887e-5
ST307,roarydefault,clipkit,2.94614638298186e-5
ST307,roarydefault,fixcore,2.40209082909092e-5
ST307,roarydefault,hmmcleaner,2.35778666871519e-5
ST307,roarydefault,snippy,1.60019233276484e-5
ST307,roarydefault,subset,2.92034606448534e-5
ST307,roarydefault,treeshrink,2.6813965614739e-5
ST307,roarydefault,trimal,2.96567695599841e-5
