Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites
ST258_panacota_clipkit.aln	1251	4323036	5408118036	44906542	0.83	29701	0.007
ST258_panacota_fixcore.aln	1251	4360419	5454884169	66989386	1.228	23318	0.005
ST258_panacota_hmmcleaner.aln	1251	4351405	5443607655	51923840	0.954	23232	0.005
ST258_panacota_snippy.aln	1251	4336944	5425516944	26650256	0.491	17220	0.004
ST258_panacota_subset.aln	1251	4361384	5456091384	63972361	1.172	30004	0.007
ST258_panacota_treeshrink.aln	1251	4360341	5454786591	63850537	1.171	28172	0.006
ST258_panacota_trimal.aln	1251	4193120	5245593120	31709007	0.604	28093	0.007
ST258_panaroo_clipkit.aln	1251	4312853	5395379103	60769731	1.126	41403	0.01
ST258_panaroodefault_clipkit.aln	1251	4294742	5372722242	59704867	1.111	41626	0.01
ST258_panaroodefault_fixcore.aln	1251	4433135	5545851885	70107642	1.264	26490	0.006
ST258_panaroodefault_hmmcleaner.aln	1251	4456817	5575478067	88321761	1.584	29325	0.007
ST258_panaroodefault_snippy.aln	1252	4483060	5612791120	56918145	1.014	18053	0.004
ST258_panaroodefault_subset.aln	1251	4476633	5600267883	111763028	1.996	43653	0.01
ST258_panaroodefault_treeshrink.aln	1251	4471183	5593449933	106273820	1.9	40640	0.009
ST258_panaroodefault_trimal.aln	1251	3612642	4519415142	19051502	0.422	36184	0.01
ST258_panaroo_fixcore.aln	1251	4446893	5563063143	69324488	1.246	25724	0.006
ST258_panaroo_hmmcleaner.aln	1251	4475496	5598845496	93442264	1.669	28652	0.006
ST258_panaroo_snippy.aln	1252	4498132	5631661264	58555798	1.04	18068	0.004
ST258_panaroo_subset.aln	1251	4495823	5624274573	117514672	2.089	43324	0.01
ST258_panaroo_treeshrink.aln	1251	4489438	5616286938	110865851	1.974	40032	0.009
ST258_panaroo_trimal.aln	1251	3630338	4541552838	18038321	0.397	35842	0.01
ST258_parsnp_snippy.aln	1251	1101889	1378463139	2404985	0.174	3881	0.004
ST258_parsnp_subset.aln	1251	1100795	1377094545	312124	0.023	4851	0.004
ST258_roarydefault_clipkit.aln	1251	4092825	5120124075	58150247	1.136	32086	0.008
ST258_roarydefault_fixcore.aln	1251	4224530	5284887030	74318209	1.406	21777	0.005
ST258_roarydefault_hmmcleaner.aln	1251	4238459	5302312209	84229752	1.589	23503	0.006
ST258_roarydefault_snippy.aln	1252	4238741	5306903732	27030994	0.509	16361	0.004
ST258_roarydefault_subset.aln	1251	4251606	5318759106	99943441	1.879	33355	0.008
ST258_roarydefault_treeshrink.aln	1251	4247658	5313820158	96163177	1.81	30839	0.007
ST258_roarydefault_trimal.aln	1251	3462643	4331766393	27834439	0.643	28025	0.008
ST307_panacota_clipkit.aln	965	4358286	4205745990	26053738	0.619	16835	0.004
ST307_panacota_fixcore.aln	965	4383146	4229735890	34968818	0.827	12874	0.003
ST307_panacota_hmmcleaner.aln	965	4379671	4226382515	29522386	0.699	13891	0.003
ST307_panacota_snippy.aln	965	4371979	4218959735	64177735	1.521	7959	0.002
ST307_panacota_subset.aln	965	4384164	4230718260	33587560	0.794	16972	0.004
ST307_panacota_treeshrink.aln	965	4383559	4230134435	34208475	0.809	15970	0.004
ST307_panacota_trimal.aln	965	4267724	4118353660	18671483	0.453	15883	0.004
ST307_panaroo_clipkit.aln	965	4339912	4188015080	28411606	0.678	22797	0.005
ST307_panaroodefault_clipkit.aln	965	4338336	4186494240	28365955	0.678	23579	0.005
ST307_panaroodefault_fixcore.aln	965	4523041	4364734565	41311668	0.946	14534	0.003
ST307_panaroodefault_hmmcleaner.aln	965	4540895	4381963675	49649764	1.133	18363	0.004
ST307_panaroodefault_snippy.aln	966	4534638	4380460308	69129667	1.578	8391	0.002
ST307_panaroodefault_subset.aln	965	4551399	4392100035	59134964	1.346	25251	0.006
ST307_panaroodefault_treeshrink.aln	965	4548997	4389782105	58096883	1.323	23235	0.005
ST307_panaroodefault_trimal.aln	965	3562550	3437860750	11863142	0.345	19196	0.005
ST307_panaroo_fixcore.aln	965	4523526	4365202590	41266711	0.945	14561	0.003
ST307_panaroo_hmmcleaner.aln	965	4541253	4382309145	49483526	1.129	18090	0.004
ST307_panaroo_snippy.aln	966	4559085	4404076110	81661879	1.854	8423	0.002
ST307_panaroo_subset.aln	965	4551715	4392404975	58935720	1.342	24363	0.005
ST307_panaroo_treeshrink.aln	965	4549537	4390303205	58145974	1.324	22537	0.005
ST307_panaroo_trimal.aln	965	3564371	3439618015	11921366	0.347	18384	0.005
ST307_parsnp_snippy.aln	965	1239386	1196007490	14079076	1.177	2287	0.002
ST307_parsnp_subset.aln	965	1239989	1196589385	550763	0.046	3002	0.002
ST307_roarydefault_clipkit.aln	965	4257298	4108292570	34490413	0.84	20384	0.005
ST307_roarydefault_fixcore.aln	965	4438774	4283416910	44980071	1.05	13573	0.003
ST307_roarydefault_hmmcleaner.aln	965	4450781	4295003665	51634788	1.202	16076	0.004
ST307_roarydefault_snippy.aln	966	4447860	4296632760	65370353	1.521	8093	0.002
ST307_roarydefault_subset.aln	965	4459994	4303894210	59938374	1.393	21439	0.005
ST307_roarydefault_treeshrink.aln	965	4456409	4300434685	57717153	1.342	19909	0.004
ST307_roarydefault_trimal.aln	965	3568582	3443681630	17620904	0.512	16879	0.005
