ST,pan,tool,threshold,r_threshold,n,n_within,n_clusters
ST258,panacota,clipkit,1,4,1251,915,457
ST258,panacota,clipkit,2,9,1251,923,461
ST258,panacota,clipkit,3,13,1251,928,463
ST258,panacota,clipkit,4,17,1251,944,471
ST258,panacota,clipkit,5,22,1251,963,480
ST258,panacota,clipkit,6,26,1251,977,486
ST258,panacota,clipkit,7,30,1251,995,494
ST258,panacota,clipkit,8,35,1251,1009,499
ST258,panacota,clipkit,9,39,1251,1022,505
ST258,panacota,clipkit,10,43,1251,1037,511
ST258,panacota,clipkit,11,48,1251,1048,514
ST258,panacota,clipkit,12,52,1251,1056,516
ST258,panacota,clipkit,13,56,1251,1069,519
ST258,panacota,clipkit,14,61,1251,1078,523
ST258,panacota,clipkit,15,65,1251,1090,525
ST258,panacota,clipkit,16,69,1251,1097,526
ST258,panacota,clipkit,17,73,1251,1102,526
ST258,panacota,clipkit,18,78,1251,1114,529
ST258,panacota,clipkit,19,82,1251,1123,532
ST258,panacota,clipkit,20,86,1251,1127,529
ST258,panacota,clipkit,21,91,1251,1138,529
ST258,panacota,clipkit,22,95,1251,1148,529
ST258,panacota,clipkit,23,99,1251,1150,530
ST258,panacota,clipkit,24,104,1251,1158,527
ST258,panacota,clipkit,25,108,1251,1163,523
ST258,panacota,clipkit,26,112,1251,1170,521
ST258,panacota,clipkit,27,117,1251,1172,514
ST258,panacota,clipkit,28,121,1251,1174,505
ST258,panacota,clipkit,29,125,1251,1180,497
ST258,panacota,clipkit,30,130,1251,1181,485
ST258,panacota,clipkit,31,134,1251,1187,481
ST258,panacota,clipkit,32,138,1251,1187,477
ST258,panacota,clipkit,33,143,1251,1190,466
ST258,panacota,clipkit,34,147,1251,1196,461
ST258,panacota,clipkit,35,151,1251,1200,448
ST258,panacota,clipkit,36,156,1251,1205,441
ST258,panacota,clipkit,37,160,1251,1208,432
ST258,panacota,clipkit,38,164,1251,1211,424
ST258,panacota,clipkit,39,169,1251,1215,419
ST258,panacota,clipkit,40,173,1251,1217,412
ST258,panacota,clipkit,41,177,1251,1218,405
ST258,panacota,clipkit,42,182,1251,1220,393
