gene_name	panacota	panaroo	panaroodefault	roarydefault
gene_0	KLPN_ST3071000	group_2739	group_2978	uspE
gene_1	KLPN_ST30710025	dacA_2~~~dacA_1	dacA_2~~~dacA_1	dacA
gene_2	KLPN_ST30710094	group_789	group_993	xylP
gene_3	KLPN_ST30710124	group_865	group_1068	amtB
gene_4	KLPN_ST30710150	group_1051	group_1257	group_2904
gene_5	KLPN_ST30710154	group_1095	group_1299	phnL
gene_6	KLPN_ST30710194	group_9160	group_9263	group_6967
gene_7	KLPN_ST30710195	group_422	group_499	citF
gene_8	KLPN_ST30710196	group_7315	group_7536	group_8083
gene_9	KLPN_ST30710197	group_6815	group_7080	rimI
gene_10	KLPN_ST30710198	tdcF	tdcF	tdcF
gene_11	KLPN_ST30710199	group_1352	group_1564	rhaS_11
gene_12	KLPN_ST30710201	group_4884	group_6864	yurK
gene_13	KLPN_ST30710202	group_745	group_950	pmbA
gene_14	KLPN_ST30710203	group_5650	group_5932	fklB
gene_15	KLPN_ST30710204	group_348	group_345	groL
gene_16	KLPN_ST30710205	group_5849	group_6130	phnH
gene_17	KLPN_ST30710206	group_349	group_346	nhaK
gene_18	KLPN_ST30710207	group_6328	group_6596	zur
gene_19	KLPN_ST30710208	group_1556	group_1767	yggP
gene_20	KLPN_ST30710209	group_562	group_772	dcuB
gene_21	KLPN_ST30710210	group_3853	group_4168	clcD
gene_22	KLPN_ST30710211	group_1101	group_1305	wecD
gene_23	KLPN_ST30710212	group_550	group_760	sthA
gene_24	KLPN_ST30710213	group_3117	group_3371	fdoH
gene_25	KLPN_ST30710214	group_243	group_242	kup
gene_26	KLPN_ST30710215	group_1402	group_1614	mdtL
gene_27	KLPN_ST30710227	group_7715	group_7895	group_6350
gene_28	KLPN_ST30710228	cbiA_2~~~cbiA_1	cbiA_2~~~cbiA_1	cbiA
gene_29	KLPN_ST30710229	group_2562	group_2804	group_2587
gene_30	KLPN_ST30710230	ppnN	ppnN	ppnN
gene_31	KLPN_ST30710231	group_4411	group_4725	surE
gene_32	KLPN_ST30710232	group_310	group_307	ilvI_1
gene_33	KLPN_ST30710233	symE	symE	symE
gene_34	KLPN_ST30710234	group_4349	group_4663	nimR_4
gene_35	KLPN_ST30710235	group_2189	group_2402	group_6498
gene_36	KLPN_ST30710236	bamE	bamE	bamE
gene_37	KLPN_ST30710237	group_5292	group_5583	ung
gene_38	KLPN_ST30710239	group_570	group_780	xseA
gene_39	KLPN_ST30710240	group_6965	group_7234	ypeA
gene_40	KLPN_ST30710241	yfeO_1~~~yfeO_2~~~yfeO	yfeO_1~~~yfeO_2~~~yfeO	yfeO
gene_41	KLPN_ST30710242	group_2154	group_2367	group_4973
gene_42	KLPN_ST30710243	group_1692	group_1905	folC
gene_43	KLPN_ST30710244	group_2529	group_2771	nuoH
gene_44	KLPN_ST30710245	group_1636	group_1849	gyrA
gene_45	KLPN_ST30710246	yohD	yohD	yohD
gene_46	KLPN_ST30710247	group_3572	group_3880	group_1367
gene_47	KLPN_ST30710248	group_1487	group_1701	yhaJ_2
gene_48	KLPN_ST30710250	group_8616	group_8761	group_6739
gene_49	KLPN_ST30710251	group_296	group_293	argS
gene_50	KLPN_ST30710252	group_7593	group_7783	group_6776
gene_51	KLPN_ST30710253	group_231	group_230	yoaA
gene_52	KLPN_ST30710254	tdcC_1~~~tdcC_2	tdcC_1~~~tdcC_2	NA
gene_53	KLPN_ST30710255	group_5302	group_5604	group_3406
gene_54	KLPN_ST30710256	narK	narK	narK
gene_55	KLPN_ST30710257	group_8521	group_8676	group_6845
gene_56	KLPN_ST30710265	group_6931	group_7200	group_6575
gene_57	KLPN_ST30710266	group_672	group_877	gntT
gene_58	KLPN_ST30710267	group_3095	group_3335	nasD
gene_59	KLPN_ST30710268	group_6288	group_6554	group_15905
gene_60	KLPN_ST30710269	group_884	group_1087	rsmB
gene_61	KLPN_ST30710270	group_2897	group_3135	group_7092
gene_62	KLPN_ST30710271	group_4885	group_6859	lptB_3
gene_63	KLPN_ST30710272	group_459	group_578	nusA
gene_64	KLPN_ST30710273	group_1497	group_1711	fruA_3
gene_65	KLPN_ST30710274	group_2576	group_2819	alx
gene_66	KLPN_ST30710275	lysA	lysA	lysA
gene_67	KLPN_ST30710276	group_7514	group_7713	pduU
gene_68	KLPN_ST30710277	cbiM	cbiM	cbiM
gene_69	KLPN_ST30710278	group_1122	group_1326	ydjF
gene_70	KLPN_ST30710279	syd	syd	relA
gene_71	KLPN_ST30710280	mutS	mutS	mutS
gene_72	KLPN_ST30710281	group_7785	group_7961	gmuB
gene_73	KLPN_ST30710282	group_7445	group_7649	group_6469
gene_74	KLPN_ST30710283	group_7072	group_7336	nrdI
gene_75	KLPN_ST30710284	vldW	vldW	vldW
gene_76	KLPN_ST30710285	group_636	group_845	group_15886
gene_77	KLPN_ST30710286	group_5332	group_5621	rnc
gene_78	KLPN_ST30710287	group_7719	group_7899	iscA
gene_79	KLPN_ST30710288	group_647	group_852	yfgG
gene_80	KLPN_ST30710289	group_9409	group_9508	tal
gene_81	KLPN_ST30710290	group_3380	group_3654	pdxK
gene_82	KLPN_ST30710291	usg_1~~~usg_2~~~usg	usg_1~~~usg_2~~~usg	usg
gene_83	KLPN_ST30710292	nuoC_2~~~nuoC_1	nuoC_2~~~nuoC_1	nuoC
gene_84	KLPN_ST30710293	group_8322	group_8482	group_7010
gene_85	KLPN_ST30710294	group_1797	group_2007	yejB
gene_86	KLPN_ST30710295	group_937	group_1142	bglG
gene_87	KLPN_ST30710296	group_4574	group_4888	rbtD
gene_88	KLPN_ST30710297	group_4197	group_4548	galF
gene_89	KLPN_ST30710298	group_1989	group_2198	hisC_2
gene_90	KLPN_ST30710299	group_2843	group_3082	group_4721
gene_91	KLPN_ST30710300	group_2363	group_2570	sdiA
gene_92	KLPN_ST30710301	group_6825	group_7089	nudB
gene_93	KLPN_ST30710302	msrC	msrC	msrC
gene_94	KLPN_ST30710303	group_5435	group_5723	ycgM
gene_95	KLPN_ST30710304	pckA	pckA	pckA_1
gene_96	KLPN_ST30710305	group_768	group_973	prs
gene_97	KLPN_ST30710306	group_1991	group_2201	group_2682
gene_98	KLPN_ST30710307	group_3137	group_3390	dadA_2
gene_99	KLPN_ST30710308	group_8897	group_9023	group_7826
gene_100	KLPN_ST30710309	group_2942	group_3182	group_3334
gene_101	KLPN_ST30710310	group_6881	group_7152	group_6603
gene_102	KLPN_ST30710311	group_7446	group_7650	mliC
gene_103	KLPN_ST30710312	group_829	group_1032	xylB_1
gene_104	KLPN_ST30710313	group_6305	group_6572	mnaT
gene_105	KLPN_ST30710314	group_3182	group_3431	group_1037
gene_106	KLPN_ST30710319	group_6681	group_6931	accB
gene_107	KLPN_ST30710320	group_6616	group_6874	greA
gene_108	KLPN_ST30710321	group_5819	group_6100	diaA
gene_109	KLPN_ST30710322	group_1767	group_1978	ureD
gene_110	KLPN_ST30710323	group_6252	group_6519	group_7647
gene_111	KLPN_ST30710324	group_5018	group_5331	group_14953
gene_112	KLPN_ST30710325	group_2981	group_3220	ilvB_2
gene_113	KLPN_ST30710326	sdhE	sdhE	sdhE
gene_114	KLPN_ST30710327	group_8836	group_8965	group_15076
gene_115	KLPN_ST30710328	yfeX	yfeX	yfeX
gene_116	KLPN_ST30710329	group_2643	group_2884	ypdA
gene_117	KLPN_ST30710330	group_1570	group_1783	group_2764
gene_118	KLPN_ST30710331	group_1909	group_2117	group_1789
gene_119	KLPN_ST30710332	group_2445	group_2652	cydB_1
gene_120	KLPN_ST30710333	group_8708	group_8849	ydgT
gene_121	KLPN_ST30710334	group_6539	group_6796	rhaS_1
gene_122	KLPN_ST30710335	group_2847	group_3086	group_6595
gene_123	KLPN_ST30710336	group_638	dld	dld
gene_124	KLPN_ST30710337	group_5927	group_6203	yeiP
gene_125	KLPN_ST30710346	group_7296	group_7519	atpI
gene_126	KLPN_ST30710349	group_6714	group_6965	elaA
gene_127	KLPN_ST30710350	group_1159	group_1367	alkB
gene_128	KLPN_ST30710351	group_1635	group_1848	fruB_2
gene_129	KLPN_ST30710352	group_1319	group_1532	yehY
gene_130	KLPN_ST30710353	group_3401	group_3681	oppD_2
gene_131	KLPN_ST30710354	group_3482	group_3784	group_3869
gene_132	KLPN_ST30710356	group_8552	group_8704	group_7815
gene_133	KLPN_ST30710357	ydbM	ydbM	ydbM
gene_134	KLPN_ST30710358	recF	recF	recF
gene_135	KLPN_ST30710359	group_5554	group_5838	group_7379
gene_136	KLPN_ST30710361	group_8642	group_8786	group_7110
gene_137	KLPN_ST30710362	group_4704	group_4406	group_7671
gene_138	KLPN_ST30710363	yijD	yijD	yijD
gene_139	KLPN_ST30710364	group_6412	group_6676	cpxP
gene_140	KLPN_ST30710365	group_8944	group_9066	rpmC
gene_141	KLPN_ST30710367	group_1687	group_1900	gltJ_1
gene_142	KLPN_ST30710368	group_3877	group_4188	proC
gene_143	KLPN_ST30710372	group_2158	group_2371	group_4823
gene_144	KLPN_ST30710373	yaeQ	yaeQ	yaeQ
gene_145	KLPN_ST30710382	group_7104	group_7364	group_15049
gene_146	KLPN_ST30710383	ksdD_2	ksdD_2	kstD
gene_147	KLPN_ST30710384	group_5753	group_6037	ahpC_1
gene_148	KLPN_ST30710392	group_615	group_824	group_5100
gene_149	KLPN_ST30710452	group_1813	group_2024	group_4653
gene_150	KLPN_ST30710478	dmsA_2~~~dmsA_1	dmsA_2~~~dmsA_1	dmsA_1
gene_151	KLPN_ST30710481	group_2276	group_2487	rnd
gene_152	KLPN_ST30710495	group_3900	group_4249	group_702
gene_153	KLPN_ST30710742	group_2216	group_2429	wecH
gene_154	KLPN_ST30710761	group_3165	group_3414	group_4913
gene_155	KLPN_ST30710771	group_164	group_164	igaA
gene_156	KLPN_ST30710792	group_5991	group_6269	phnN
gene_157	KLPN_ST30710793	group_8051	group_8223	group_7390
gene_158	KLPN_ST30710794	group_3381	group_3653	ubiA
gene_159	KLPN_ST30710795	group_809	group_1013	aceA
gene_160	KLPN_ST30710796	rplK	rplK	rplK
gene_161	KLPN_ST30710797	group_1765	group_1976	group_3893
gene_162	KLPN_ST30710798	group_7688	group_7872	rho
gene_163	KLPN_ST30710799	zinT	zinT	zinT
gene_164	KLPN_ST30710800	group_1022	group_1228	rhaA
gene_165	KLPN_ST30710801	group_6865	group_7136	dtd
gene_166	KLPN_ST30710802	group_5641	group_5923	rsmG
gene_167	KLPN_ST30710813	group_2671	group_2912	dmsA_2
gene_168	KLPN_ST30710814	group_1597	group_1809	entB
gene_169	KLPN_ST30710815	ddpA_3~~~ddpA_1~~~ddpA_2	ddpA_3~~~ddpA_1~~~ddpA_2	NA
gene_170	KLPN_ST30710816	norR~~~dgaR~~~mdtA_1	norR~~~dgaR~~~mdtA_1	norR
gene_171	KLPN_ST30710817	group_1998	group_2208	group_5137
gene_172	KLPN_ST30710818	group_5263	group_5554	yadV_1
gene_173	KLPN_ST30710819	group_343	group_341	ushA
gene_174	KLPN_ST30710820	malG_2	malG_2	malG_1
gene_175	KLPN_ST30710821	group_977	group_1182	bolA
gene_176	KLPN_ST30710822	group_6795	group_7060	nrdR
gene_177	KLPN_ST30710824	group_6136	group_6404	group_8072
