backup	backup	raw	*	
ST307	roarydefault	raw	aaaT	0
ST307	panaroodefault	snippy	aaeB	5.41457e-05
ST307	panaroo	raw	aaeB	0.000206306
ST307	panaroo	snippy	aaeB	5.41457e-05
ST307	panacota	raw	KLPN_ST307-1000	3.48374e-05
ST307	panacota	snippy	KLPN_ST307-1000	1.27378e-05
ST307	roarydefault	snippy	aaaT	0
ST258	panaroodefault	raw	aaeA_1	3.56175e-06
ST258	panaroo	snippy	aaeA_1	3.55607e-06
ST258	panaroo	raw	aaeA_1	3.56175e-06
ST258	roarydefault	raw	aaaT	3.26676e-06
ST258	panacota	raw	KLPN_ST258-10030	1.59466e-05
ST307	panaroodefault	raw	aaeB	0.000206306
ST258	panacota	snippy	KLPN_ST258-10030	1.45092e-05
ST258	panaroodefault	snippy	aaeA_1	3.55607e-06
ST258	roarydefault	snippy	aaaT	3.26415e-06
ST307	panaroodefault	snippy	aaeX	1.0107e-05
ST307	panaroo	raw	aaeX	1.01595e-05
ST307	roarydefault	raw	aaeA_1	9.27093e-06
ST307	panaroo	snippy	aaeX	1.0107e-05
ST307	panacota	raw	KLPN_ST307-10025	9.78623e-06
ST307	roarydefault	snippy	aaeA_1	6.81689e-06
ST307	panacota	snippy	KLPN_ST307-10025	9.68176e-06
ST307	panaroodefault	raw	aaeX	1.01595e-05
ST258	panaroo	snippy	aaeA_2	5.12143e-06
ST258	panaroodefault	raw	aaeA_2	8.55804e-06
ST258	roarydefault	raw	aaeA_1	3.56175e-06
ST258	panaroo	raw	aaeA_2	8.55804e-06
ST258	panacota	raw	KLPN_ST258-10046	5.91372e-06
ST307	roarydefault	raw	aaeA_2	0
ST307	panaroo	raw	abaF_1	0.000132754
ST307	panaroo	snippy	abaF_1	0.000129471
ST307	panaroodefault	snippy	abaF_1	0.000129471
ST307	roarydefault	snippy	aaeA_2	2.19839e-06
ST258	roarydefault	snippy	aaeA_1	3.55607e-06
ST258	panaroodefault	snippy	aaeA_2	5.12143e-06
ST307	panacota	raw	KLPN_ST307-10094	4.7256e-05
ST258	panacota	snippy	KLPN_ST258-10046	5.89108e-06
ST307	panaroodefault	raw	abaF_1	0.000132754
ST307	panacota	snippy	KLPN_ST307-10094	8.85976e-06
ST307	panaroo	raw	abgT	6.77362e-06
ST307	roarydefault	raw	aaeB_2	4.2081e-06
ST307	panaroo	snippy	abgT	3.9609e-06
ST307	panaroodefault	snippy	abgT	3.9609e-06
ST307	roarydefault	snippy	aaeB_2	4.19287e-06
ST258	panaroo	snippy	aaeB_1~~~aaeB	1.17901e-05
ST307	panaroodefault	raw	abgT	6.77362e-06
ST258	roarydefault	raw	aaeA_2	8.55804e-06
ST258	panaroo	raw	aaeB_1~~~aaeB	1.25839e-05
ST307	panacota	raw	KLPN_ST307-10124	4.77049e-06
ST307	panacota	snippy	KLPN_ST307-10124	0
ST258	panacota	raw	KLPN_ST258-10048	8.11342e-05
ST258	panaroodefault	raw	aaeB_1~~~aaeB	1.25839e-05
ST307	roarydefault	raw	aaeB	0.000128182
ST307	panaroo	snippy	accD_2~~~accD_1	0
ST307	panaroodefault	snippy	accD_2~~~accD_1	0
ST307	panaroo	raw	accD_2~~~accD_1	0
ST258	panaroodefault	snippy	aaeB_1~~~aaeB	1.17901e-05
ST258	panacota	snippy	KLPN_ST258-10048	4.67101e-05
ST258	roarydefault	snippy	aaeA_2	5.12143e-06
ST307	roarydefault	snippy	aaeB	5.41457e-05
ST307	panaroodefault	raw	accD_2~~~accD_1	0
ST307	panacota	raw	KLPN_ST307-10150	2.2176e-05
ST258	panaroo	snippy	aaeX	2.34605e-05
ST307	panacota	snippy	KLPN_ST307-10150	8.09189e-06
ST258	panaroo	raw	aaeX	2.3473e-05
ST307	panaroodefault	snippy	acnA	8.38382e-06
ST307	panaroo	raw	acnA	9.26816e-06
ST307	panaroo	snippy	acnA	8.38382e-06
ST307	roarydefault	raw	aaeX	1.01595e-05
ST258	roarydefault	raw	aaeB_1	1.26749e-05
ST258	panaroodefault	raw	aaeX	2.3473e-05
ST307	roarydefault	snippy	aaeX	1.0107e-05
ST258	panacota	raw	KLPN_ST258-10055	0
ST307	panaroodefault	raw	acnA	9.26816e-06
ST307	panacota	snippy	KLPN_ST307-10154	3.90037e-05
ST258	roarydefault	snippy	aaeB_1	1.17901e-05
ST307	panacota	raw	KLPN_ST307-10154	3.38925e-05
